run_id,document_id,issuer,company,ticker,fiscal_period,report_date,source_pdf,model,prompt,input_tokens,output_tokens,total_tokens,cached_input,estimated_cost_usd,latency_seconds,signal,signal_mismatch,sentiment_score,ensemble_runs,status
20260813T220711Z,XOM_FQ1_2023,p2_exxonmobil,ExxonMobil,XOM,FQ1 2023,2023-04-28,/Users/nigelsim/Desktop/arp-master-4/docs/exxonmobil/CY2023-Q1/XOM_Q1_2023_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,24597,2075,26672,False,0.008872,12.76,BUY,False,0.2,,success
20260813T220711Z,XOM_FQ2_2023,p2_exxonmobil,ExxonMobil,XOM,FQ2 2023,2023-07-28,/Users/nigelsim/Desktop/arp-master-4/docs/exxonmobil/CY2023-Q2/XOM_Q2_2023_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,58028,2811,60839,True,0.018708,17.29,HOLD,False,0.15,,success
20260813T220711Z,XOM_FQ3_2023,p2_exxonmobil,ExxonMobil,XOM,FQ3 2023,2023-10-27,/Users/nigelsim/Desktop/arp-master-4/docs/exxonmobil/CY2023-Q3/XOM_Q3_2023_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,29586,2418,32004,True,0.010597,14.21,BUY,False,0.25,,success
20260813T220711Z,XOM_FQ4_2023,p2_exxonmobil,ExxonMobil,XOM,FQ4 2023,2024-02-02,/Users/nigelsim/Desktop/arp-master-4/docs/exxonmobil/CY2023-Q4/XOM_Q4_2023_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,45857,2266,48123,True,0.014823,15.29,BUY,False,0.25,,success
20260813T220711Z,XOM_FQ1_2024,p2_exxonmobil,ExxonMobil,XOM,FQ1 2024,2024-04-26,/Users/nigelsim/Desktop/arp-master-4/docs/exxonmobil/CY2024-Q1/XOM_Q1_2024_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,25961,2714,28675,True,0.009944,16.11,BUY,False,0.2,,success
20260813T220711Z,XOM_FQ2_2024,p2_exxonmobil,ExxonMobil,XOM,FQ2 2024,2024-08-02,/Users/nigelsim/Desktop/arp-master-4/docs/exxonmobil/CY2024-Q2/XOM_Q2_2024_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,28049,2749,30798,True,0.010546,16.45,BUY,False,0.25,,success
20260813T220711Z,XOM_FQ3_2024,p2_exxonmobil,ExxonMobil,XOM,FQ3 2024,2024-11-01,/Users/nigelsim/Desktop/arp-master-4/docs/exxonmobil/CY2024-Q3/XOM_Q3_2024_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,30796,2103,32899,True,0.010577,13.39,BUY,False,0.25,,success
20260813T220711Z,XOM_FQ4_2024,p2_exxonmobil,ExxonMobil,XOM,FQ4 2024,2025-01-31,/Users/nigelsim/Desktop/arp-master-4/docs/exxonmobil/CY2024-Q4/XOM_Q4_2024_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,30381,2176,32557,True,0.010545,14.25,BUY,False,0.25,,success
20260813T220711Z,XOM_FQ1_2025,p2_exxonmobil,ExxonMobil,XOM,FQ1 2025,2025-05-02,/Users/nigelsim/Desktop/arp-master-4/docs/exxonmobil/CY2025-Q1/XOM_Q1_2025_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,27100,1632,28732,True,0.009061,10.39,BUY,False,0.2,,success
20260813T220711Z,XOM_FQ2_2025,p2_exxonmobil,ExxonMobil,XOM,FQ2 2025,2025-08-01,/Users/nigelsim/Desktop/arp-master-4/docs/exxonmobil/CY2025-Q2/XOM_Q2_2025_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,29062,2149,31211,True,0.010159,13.71,BUY,False,0.2,,success
20260813T220711Z,XOM_FQ3_2025,p2_exxonmobil,ExxonMobil,XOM,FQ3 2025,2025-10-31,/Users/nigelsim/Desktop/arp-master-4/docs/exxonmobil/CY2025-Q3/XOM_Q3_2025_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,28567,2088,30655,True,0.009959,13.65,BUY,False,0.25,,success
20260813T220711Z,XOM_FQ4_2025,p2_exxonmobil,ExxonMobil,XOM,FQ4 2025,2026-01-30,/Users/nigelsim/Desktop/arp-master-4/docs/exxonmobil/CY2025-Q4/XOM_Q4_2025_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,30923,2117,33040,True,0.010627,13.72,BUY,False,0.25,,success
20260813T220711Z,XOM_FQ1_2026,p2_exxonmobil,ExxonMobil,XOM,FQ1 2026,2026-05-01,/Users/nigelsim/Desktop/arp-master-4/docs/exxonmobil/CY2026-Q1/XOM_Q1_2026_Press_Release.htm,deepseek-v4-flash,llm_analysis_prompt_template.md,28508,2456,30964,True,0.010348,15.26,BUY,False,0.25,,success
